Tokenizer,Text,Fertility Score
SentencePieceBPETokenizer,150,1.677590259696057
SentencePieceBPETokenizer,300,1.6814620165854686
SentencePieceBPETokenizer,500,1.6793818415267567
ByteLevelBPETokenizer,150,5.863756561375673
ByteLevelBPETokenizer,300,5.8609813112941165
ByteLevelBPETokenizer,500,5.864266101272013
CharBPETokenizer,150,1.8146223742606251
CharBPETokenizer,300,1.8125572555524827
CharBPETokenizer,500,1.8152689482422744
WordPiece,150,0.16326158360586904
WordPiece,300,0.1633553386592068
WordPiece,500,0.16365337674458666
